Pulau,Propinsi,Kabupaten,Kependudukan
Batutungku,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Burung,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Damar,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Klaru,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Landabung,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Papu,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Santilik Ha'i,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Santilik Kurik,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Tewangkampong,KALIMANTAN TENGAH,KABUPATEN KATINGAN,Tidak Ada
Tangguk,KALIMANTAN TENGAH,KABUPATEN SUKAMARA,Tidak Ada
Ketapang,KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,Tidak Ada
Mintin Besar,KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,Tidak Ada
Mintin Kecil,KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,Tidak Ada
Nusatambing,KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,Tidak Ada
Palabangan,KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,Berpenduduk
Tuwung,KALIMANTAN TENGAH,KABUPATEN PULANG PISAU,Berpenduduk
Hampapak,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,Tidak Ada
Kaja,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,Berpenduduk
Kaladan,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,Tidak Ada
Kudung,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,Berpenduduk
Takapan,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,Tidak Ada
Batubejanggut,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Batulima Darat,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Batulima Selatan,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Batulima Tengah,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Batulima Timur,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Batulima Utara,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Datu,KALIMANTAN SELATAN,KABUPATEN TANAH LAUT,Tidak Ada
Anak Payungpayungan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Asam,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Bahu,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Bale,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Balipat,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Basar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Basarbalawang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Basardamang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Basarkapal,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Basarpandan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Basarsawar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Batu Barat,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Batu Tengah,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Batuadang Selatan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Batuadang Utara,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Bidan Sulangkajan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Bini Bungkukan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Bini Cantung,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Birahbirahan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Biru,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Buroto,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Burung Besar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Burung Kecil,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Burung Kelumpang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Burung,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Cinta,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Condong,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Curiak,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Danauwan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Dare,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Gambang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Gunungtulangan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Hajar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Halaban Kecil,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Halaban,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Halangmelingkau,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Haliling,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Haur,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Janda,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Jangking,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Jaring,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Jurung,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kacang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kalambau,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Kaliamun,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kaluang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kaminting,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kapak Besar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Kapak Kecil,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Karajaan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Karangan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kerasian,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Kerawang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kersikhitam,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Kerumputan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Kunyit,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Kunyit Matasirih,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,
Laki Bungkukan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Laki Cantung,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Langadai,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Laut,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,
Mangkuk,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Manti,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Marabatuan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Maradapan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Maraeng,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Matasirih,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Merdeka,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Nangka Besar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Nangka Kecil,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Ondong,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Pagat,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Palaburan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Pamalikan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Pandangpandangan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Parak,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Pardamaian Besar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Pardamaian Kecil,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Payungpayungan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,
Rambai,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Raukan Besar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Raukan Kecil,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sambargalang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,
Sambergelap,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,
Samut,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Santimunan Dalam,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Santimunan Luar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Sarang,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sari,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sawah,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sebuku,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Sepisau,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Serudung,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Sungaihalangan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sungaihambar,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sungaikerapu,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sungainibung,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Sungaipuayan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Suren,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Tabuan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tajak,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tanahmerah,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tarusan,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tepianmataja,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Terusan Tengah,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Berpenduduk
Titipan Indah,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tiwadak,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tokong,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Tugu,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Barunak,KALIMANTAN SELATAN,KABUPATEN BANJAR,Tidak Ada
Dupa,KALIMANTAN SELATAN,KABUPATEN BANJAR,Berpenduduk
Sepakat,KALIMANTAN SELATAN,KABUPATEN BANJAR,Berpenduduk
Alalak,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Berpenduduk
Anyar Hilir,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Tidak Ada
Anyar,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Tidak Ada
Bakut,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Tidak Ada
Kaget,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Tidak Ada
Kembang,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Tidak Ada
Tempurung,KALIMANTAN SELATAN,KABUPATEN BARITO KUALA,Tidak Ada
Anak Suwangi,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,Tidak Ada
Burung,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,Berpenduduk
Hantu,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,Tidak Ada
Sungaidua,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,Tidak Ada
Suwangi,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,Berpenduduk
Tampakan,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,Tidak Ada
Bromo,KALIMANTAN SELATAN,KOTA BANJARMASIN,Berpenduduk
Balang,KALIMANTAN TIMUR,,Tidak Ada
Benawa Besar,KALIMANTAN TIMUR,,Tidak Ada
Benawa Kecil,KALIMANTAN TIMUR,,Tidak Ada
Kelawasan,KALIMANTAN TIMUR,,Tidak Ada
Kemantis,KALIMANTAN TIMUR,,Tidak Ada
Lipan,KALIMANTAN TIMUR,,Tidak Ada
Sengatok Besar,KALIMANTAN TIMUR,,Berpenduduk
Bansik,KALIMANTAN TIMUR,KABUPATEN PASER,Tidak Ada
Batukapal,KALIMANTAN TIMUR,KABUPATEN PASER,Tidak Ada
Burung,KALIMANTAN TIMUR,KABUPATEN PASER,Berpenduduk
Merayap,KALIMANTAN TIMUR,KABUPATEN PASER,Berpenduduk
Rantau Besar,KALIMANTAN TIMUR,KABUPATEN PASER,Berpenduduk
Rantau Kecil,KALIMANTAN TIMUR,KABUPATEN PASER,Berpenduduk
Bangau,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Berau,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Berukang,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Bukuan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Burung,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Cerocok,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Cok,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Datu,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Dinar,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Gandeng,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Berpenduduk
Genting Besar,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Genting Kecil,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Harapan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Berpenduduk
Ilu,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Jawa,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Jerang,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Jopang,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Kambing,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Kayumajarang,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Kelambu,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Kerbau,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Kobe,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Berpenduduk
Kumala,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Berpenduduk
Lalukena,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Lantang Kecil,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Layangan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Lerong,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Letung,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Merdeka Selatan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Merdeka Tengah,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Merdeka Utara,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Merdeka,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Miang,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Muaraulu,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Nibung,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Nubi,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Pantuan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Patin,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Pegah,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Penti,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Perangatan Besar,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Perangatan Kecil,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Perangatan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Pusa,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Berpenduduk
Rambairangas,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Seleteh Kecil,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Seleteh,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Sungaikelambu,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Tambora,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Tanjungdewa,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Telukgenting,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Tiga Selatan,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Berpenduduk
Tiga Tengah,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Tiga Utara,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Timbangbarukang,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Tunu,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Yupa,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,Tidak Ada
Aji,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Andongabu,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Babanir Baru,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Badakbadak,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bakungan Diki,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bakungan Hea,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Balambangan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Balikkukup,KALIMANTAN TIMUR,KABUPATEN BERAU,Berpenduduk
Bangkai,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Besar,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Besing,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bilangbilangan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bingkar,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bonggong Besar,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bonggong Kecil,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bulanbulan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bulingisan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Bunglalang,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Derawan,KALIMANTAN TIMUR,KABUPATEN BERAU,Berpenduduk
Guntung,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Gurimbang,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Kakaban,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Kamagi Lekkat,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Kamagi Pikkit,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Kaniungan Besar,KALIMANTAN TIMUR,KABUPATEN BERAU,Berpenduduk
Kaniungan Kecil,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
KARANG UNARANG,KALIMANTAN UTARA,KABUPATEN NUNUKAN,Tidak Ada
Kokok,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Labatan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Labulabu,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Lakitkuhita,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Lalawan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Lungsurannaga,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Manambula,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Manimbora,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Maratua,KALIMANTAN TIMUR,KABUPATEN BERAU,
Mataha,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Nakal,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Pabahanan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Padai,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Panjang,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Payau,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Peapea,KALIMANTAN TIMUR,KABUPATEN BERAU,Berpenduduk
Rampien,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Samama,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sambit,KALIMANTAN TIMUR,KABUPATEN BERAU,
Sangalaki,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sangalan Diki,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sangalan Hea,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Semut,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sentubung,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Serundung,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sialod,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Siappung,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sibela,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sibilambay,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Siddau,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sigending Besar,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sigending Kecil,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Sodang Besar,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Solok,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Talisapan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Tangkapaan,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Tanjungbuayabuaya,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Telasau,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Tempurung,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Tidung,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Uraban,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
Agis,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Antal,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Berpenduduk
Apaspayau,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Berpenduduk
Banjang,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Bara Selatan,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Bara,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Barasan,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Baru Dua,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Baru Satu,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Batok,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Belipot Kecil,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Belipot Tengah,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Belipot,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Berai,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Berunai,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Buka,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Buluhperindu,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Berpenduduk
Buntu,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Bunyu,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Berpenduduk
Burung,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Buyu,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Berpenduduk
Cangkir,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Cermin Kecil,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Cermin,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Cincin Selatan,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Cincin Utara,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Ibus,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Kelambu,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Tidak Ada
Keris,KALIMANTAN TIMUR,KABUPATEN BULUNGAN,Berpenduduk
