KodePelabuhan,NamaPelabuhan,LokasiPelabuhan,UnitKerja,AlamatKantor
TGL,Tagulandang,SITARO,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
TGP,Tanjung Api-Api,BANYUASIN,PEMBANGUNAN FASILITAS PELABUHAN TANJUNG API-API,Kab. Banyuasin; Rimau Sungsang; Palembang; Kabupaten Banyu Asin; Sumatera Selatan 30971
TGU,Telaga Biru,BANGKALAN,KUPP KELAS III TELAGA BIRU,Jl. Pelabuhan No. 54 Telagabiru Bangkalan Jawa Timur 69156
THA,Tahuna,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
THH,Tuhaha,MALUKU TENGAH,KUPP KELAS II TULEHU,Jl.Pelabuhan Hurmala Tulehu Maluku 97582
TJB,Tanjung Balai Karimun,KARIMUN,KSOP KELAS I TANJUNG BALAI KARIMUN,-
TJP,Tanjung Pakis,LAMONGAN,UPP KELAS III BRONDONG,Jl. Pelabuhan No. 1 Sedayulawas Kec. Brondong Lamongan; Jawa Timur - 662814
TJQ,Tanjung Pandan,BELITUNG,KSOP KELAS IV TANJUNG PANDAN,Jl. Pelabuhan No. 1 Tanjung Pandan Belitung 33411
TKM,Tutu Kembong,MALUKU TENGGARA BARAT,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
TLA,Tanjung Laut,KOTA BONTANG,KUPP KELAS I TANJUNG LAUT,Jl. Pelabuahan No.28 Rt.10 Tanjung Laut Indah Bontang Kalimantan Timur 75321
TLI,Toli-toli,TOLI-TOLI,KSOP KELAS IV TOLI-TOLI,Jl. Komp. Pelabuhan Tolo-toli Sulawesi Tengah 94500
TLN,Tembilahan,INDRAGIRI HULU,KSOP KELAS IV TEMBILAHAN,Jl. Jend. Sudirman No. 75 Tembilahan Kab. Indragiri Hilir - Riau 29212 Telp/Fax. 0768-22033 Email : ksoptembilahan@gmail.com
TMD,Tanjung Medang,BENGKALIS,KUPP KELAS III TANJUNG MEDANG,BENGKALIS
TMP,Tarempa,KEPULAUAN ANAMBAS,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
TNJ,Tanjung Pinang,KOTA TANJUNG PINANG,KSOP KELAS II TANJUNG PINANG,Jl. SM. Amin No. 18 Kota Tanjung Pinang Kepulauan Riau 29111 Telp/Fax. 0771-21014 ksoptanjungpinang@dephub.go.id
TNL,Taniwel,SERAM BAGIAN BARAT,KUPP KELAS III KAIRATU,Jl. Kompleks PT. IMJ; Waisarisa Maluku
TNU,Talang Duku,MUARO JAMBI,KSOP KELAS III TALANG DUKU,Jl. Raya Pelabuhan Km. 9 Talang Dukuh - Jambi 36381 Telp. 0741-22844; 22020; Fax. 0741-25280 ksopjambi@dephub.go.id
TOK,Torosik,BOLAANG MONGONDO SELATAN,KUPP KELAS III KOTABUNAN,Jl. Komp. Pelabuhan Kotabaru Kec. Kotabunan Kab. Bomlang Kotabunan Sulut 95782
TPA,Tepa,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
TPK,Tapaktuan,ACEH SELATAN,KUPP KELAS III TAPAK TUAN,ACEH SELATAN
TPR,Tanjung Priok,JAKARTA UTARA,KANTOR SYAHBANDAR UTAMA TANJUNG PRIOK,Jl. Padamarang No. 4 Tanjung Priok Jakarta Utara 14310
TPT,Tua Pejat,KEPULAUAN MENTAWAI,KUPP KELAS III SIUBAN,MENTAWAI
TPU,Tanjung Pura,LANGKAT,KSOP KELAS IV PANGKALAN SUSU,-
TQG,Tangkiang,BANGGAI,KUPP KELAS II LUWUK,Jl. Yos Sudarso No. 1 Kel. Karaton Kec. Luwuk Kab. Banggai Sulteng 94715
TQO,Tikong,KEPULAUAN SULA,KUPP KELAS II SANANA,Jl.Komplek Pelabuhan Sanana Maluku Utara 97795
TQP,Kupang,KUPANG,KSOP KELAS V TENAU KUPANG,Jl. Yos Sudarso No. 27 Tenau Kupang NTT 85351
TRE,Tanjung Redeb,BERAU,KUPP KELAS II TANJUNG REDEP,Jl. P. Antasari No. 27 Rt.01/Rw.01 Tanjung Redep Kaltim 77312
TRQ,Tanjung Berakit,KEPULAUAN RIAU,KUPP KELAS I TANJUNG UBAN,KOTA TANJUNG PINANG
TSH,Tanjung Balai Asahan,ASAHAN,KSOP KELAS IV TANJUNG BALAI ASAHAN,Jl. Pelabuhan Teluk Nibung 21351
TSL,Tanjung Sarang Elang,LABUAN BATU,KUPP KELAS III TANJUNG SARANG,LABUHAN BATU
TSX,Tanjung Santan,KUTAI KERTANEGARA,KUPP KELAS III TANJUNG SANTAN,Jl. Chevron Tanjung Santan Terminal Balik papan P.O BOX276
TTK,Nunukan/Tunon Taka,,KSOP KELAS IV NUNUKAN,Jl. Pelabuhan Baru No. 142 Nunukan - Kalimantan Timur 77482
TTN,Teluk Sigintung/Seruyan,SERUYAN,KSOP KELAS III TELUK SIGINTUNG,Jl. AIS Nasution Kuala Pembuang Kalimantan Tengah 74211
TUA,Tual,KAB. TUAL,KUPP KELAS II TUAL,Jl.Pidnang Armau No1 Komp.Pelabuhan Tual Maluku 97613
TUH,Tulehu,MALUKU TENGAH,KUPP KELAS II TULEHU,Jl.Pelabuhan Hurmala Tulehu Maluku 97582
UAA,Una-Una,TOJO UNA-UNA,KUPP KELAS III AMPANA,Jl. Yos Sudarso No. 25 Ampana Sulteng 94683
UIA,Eray/Upisera,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
UJB,Ujung Jabung,TANJUNG JABUNG TIMUR,KUPP KELAS III MENDAHARA,-
UOA,Belopa,KEPULAUAN SELAYAR,KUPP KELAS II PALOPO,LUWU
USI,Ulu Siau,SITARO,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
WAK,Wakai,TOJO UNA-UNA,KUPP KELAS III AMPANA,Jl. Yos Sudarso No. 25 Ampana Sulteng 94683
WAM,Terong/Waiwerang,FLORES TIMUR,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
WBA,Wahai,MALUKU TENGAH,KUPP KELAS III BULA,Jl. Pelabuhan Teluk Hatiling Wahai Maluku 97557
WCI,Wanci,WAKATOBI,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
WDI,Wendesi,TELUK WONDAMA,UPP KELAS III WASIOR,Jl. Kuri Pasai No. 1 Rt.1/Rw.1 Wasior Papua Barat 98362
WDO,Wulandoni,LEMBATA,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
WED,Weda,HALMAHERA TENGAH,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
WGK,Wamengkoli,KOLAKA,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
WGP,Waingapu,SUMBA TIMUR,KSOP KELAS IV WAINGAPU,Jl. Nangamesi No. 11 Waingapu Nusa Tenggara Timur 87110
WIA,Waigama,RAJA AMPAT,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
WIE,Waiwole,MANGGARAI TIMUR,KUPP KELAS II REO,Jl. Pelabuhan Reo Kec. Reo Kab. Manggarai Kediri; Nusa Tenggara Timur - 86592
WII,Wini,TIMOR TENGAH UTARA,KUPP KELAS II ATAPUPU,Jl. Pelabuhan No. 1 Atapupu Nusa Tenggara Timur
WIO,Waikelo,SUMBA BARAT DAYA,KUPP KELAS III WAIKELO,Jl. Waikelo Kec. Luara Kab. Sumba Barat Waikelo; Nusa Tenggara Timur - 87254
WNI,Wonreli,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
WNQ,Wani,DONGGALA,KUPP KELAS III WANI,Jl. Pelabuhan No. 6 Wani Sulteng 94352
WOA,Waworada,BIMA,KUPP KELAS III SAPE,Jl. Pelabuhan Niaga No. 1 Sape Bima Kab. Bima Nusa Tenggara Barat
WRG,Wuring,SIKA,KSOP KELAS IV LAURENTIUS SAY/MAUMERE,Jl. R. E Marthadinata No. 7 Maumere - Nusa Tenggara Timur 86113
WRN,Waren,WAROPEN,KUPP KELAS III WAREN,Jl. Infres Waren Ureifaisei Waren Papua
WRS,Waisarisa,SERAM BAGIAN BARAT,KUPP KELAS III KAIRATU,Jl. Kompleks PT. IMJ; Waisarisa Maluku
WSA,Waisai,RAJA AMPAT,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
WSR,Wasior,TELUK WONDAMA,UPP KELAS III WASIOR,Jl. Kuri Pasai No. 1 Rt.1/Rw.1 Wasior Papua Barat 98362
WUR,Wulur,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
WUU,Watunohu,KOLAKA UTARA,UPP KELAS III KOLAKA,Jl. Dermaga No. 1; Kolaka Sultra 93512
WWN,Waiwadan,FLORES TIMUR,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
WWR,Waiwuring,FLORES TIMUR,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
WYA,Wayaua,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
WYB,Wayabula/Posi-Posi,PULAU MOROTAI,KUPP KELAS III DARUBA,Jl. Komp. Pelabuhan Imam Lastori Kab. Pulau Morotai Prov. Malut 97771
YAR,Selayar/Benteng/Rauf Rahman,KEPULAUAN SELAYAR,UPP KELAS III SELAYAR,Jl. Pelabuhan No. 1 anteng Selayar Sulsel 92812
YBA,Yaba,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
ZRI,Serui,KEPULAUAN YAPEN,KUPP KELAS II SERUI,Jl. Moh. Hatta No. 2 Serui Papua 98201
ZRM,Sarmi,SARMI,KUPP KELAS III SARMI,Jl. Brasilsdi No. 1 Sarmi Kota Papua 99373
